course_id,enrollments,withdrawals,failed,completed_credits,attempted_credits,withdrawal_rate,failure_rate,credit_completion_rate,subject,course_level,credits,course_title
HCA200,1159,83,53,3171,3477,0.0716134598792062,0.0457290767903365,0.911993097497843,HCA,200,3,HCA Applied Concepts 200
HCA300,1174,87,72,3135,3522,0.0741056218057921,0.0613287904599659,0.8901192504258943,HCA,300,3,HCA Applied Concepts 300
HCA400,1160,85,84,3069,3480,0.0732758620689655,0.0724137931034482,0.881896551724138,HCA,400,3,HCA Applied Concepts 400
HCA500,1227,74,84,3342,3681,0.0603096984515077,0.0684596577017114,0.9079054604726976,HCA,500,3,HCA Applied Concepts 500
HCA600,1189,95,63,3177,3567,0.0798990748528175,0.0529857022708158,0.8906644238856182,HCA,600,3,HCA Applied Concepts 600
IT100,1494,146,138,3825,4482,0.0977242302543507,0.0923694779116465,0.8534136546184738,IT,100,3,IT Applied Concepts 100
IT200,1402,114,95,3726,4206,0.0813124108416547,0.0677603423680456,0.8858773181169758,IT,200,3,IT Applied Concepts 200
IT300,1485,88,101,4011,4455,0.0592592592592592,0.068013468013468,0.9003367003367003,IT,300,3,IT Applied Concepts 300
IT400,1454,94,98,3930,4362,0.0646492434662998,0.0674002751031636,0.9009628610729024,IT,400,3,IT Applied Concepts 400
IT500,1486,97,89,4008,4458,0.0652759084791386,0.0598923283983849,0.8990578734858681,IT,500,3,IT Applied Concepts 500
IT600,1434,96,104,3858,4302,0.0669456066945606,0.0725244072524407,0.8967921896792189,IT,600,3,IT Applied Concepts 600
MAT100,8028,826,685,20481,24084,0.1028898854010961,0.0853263577478824,0.8503986048829099,MAT,100,3,MAT Applied Concepts 100
MAT200,8045,546,488,21732,24135,0.0678682411435674,0.0606587942821628,0.9004350528278434,MAT,200,3,MAT Applied Concepts 200
MAT300,8073,573,471,21714,24219,0.070977331846897,0.0583426235600148,0.8965688096122879,MAT,300,3,MAT Applied Concepts 300
MAT400,8103,594,505,21636,24309,0.0733061828952239,0.0623225965691719,0.890040725657164,MAT,400,3,MAT Applied Concepts 400
MAT500,8225,581,518,22077,24675,0.0706382978723404,0.0629787234042553,0.8947112462006079,MAT,500,3,MAT Applied Concepts 500
MAT600,8115,608,480,21705,24345,0.0749229821318546,0.0591497227356746,0.8915588416512631,MAT,600,3,MAT Applied Concepts 600
PSY100,1584,110,94,4275,4752,0.0694444444444444,0.0593434343434343,0.8996212121212122,PSY,100,3,PSY Applied Concepts 100
PSY200,1541,102,115,4143,4623,0.0661907852044127,0.0746268656716417,0.8961713173264114,PSY,200,3,PSY Applied Concepts 200
PSY300,1572,112,94,4242,4716,0.0712468193384223,0.059796437659033,0.8994910941475827,PSY,300,3,PSY Applied Concepts 300
PSY400,1568,110,99,4230,4704,0.0701530612244897,0.0631377551020408,0.8992346938775511,PSY,400,3,PSY Applied Concepts 400
PSY500,1541,103,84,4176,4623,0.0668397144711226,0.054510058403634,0.9033095392602206,PSY,500,3,PSY Applied Concepts 500
PSY600,1519,123,110,3990,4557,0.0809743252139565,0.0724160631994733,0.8755760368663594,PSY,600,3,PSY Applied Concepts 600
SCI100,8057,579,498,21648,24171,0.0718629762939059,0.0618096065533076,0.8956187166439121,SCI,100,3,SCI Applied Concepts 100
SCI200,7882,567,471,21216,23646,0.0719360568383659,0.0597564070032986,0.8972342045166202,SCI,200,3,SCI Applied Concepts 200
SCI300,8012,566,479,21570,24036,0.0706440339490763,0.0597853220169745,0.8974038941587619,SCI,300,3,SCI Applied Concepts 300
SCI400,8205,580,530,22023,24615,0.0706886045094454,0.0645947592931139,0.8946983546617916,SCI,400,3,SCI Applied Concepts 400
SCI500,8046,576,499,21627,24138,0.0715883668903803,0.0620183942331593,0.8959731543624161,SCI,500,3,SCI Applied Concepts 500
SCI600,8116,562,487,21867,24348,0.0692459339576146,0.0600049285362247,0.8981025135534746,SCI,600,3,SCI Applied Concepts 600
